id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,33:53.3,,,,,,f,,{},info,1,1,"{""question"": ""What is the capital city of France?"", ""number"": ""practice 1"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Barcelona"", ""Rwer"": ""Paris"", ""pic"": false}"
2,34:01.7,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,8,1,Paris
3,34:04.7,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,9,1,Paris
4,34:05.3,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,7,1,Paris
5,34:05.6,,,,,,f,,{},info,1,1,"{""question"": ""How much does an average chimpanzee weigh?"", ""number"": ""practice 2"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""500kg"", ""Rwer"": ""50kg"", ""pic"": false}"
6,34:11.6,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,8,1,50kg
7,34:14.7,"{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,t,34:26.2,{},lotty_info,7,1,Ask Someone Else
8,34:26.1,"{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":false,""topic"":""Practice""}",,,,,f,,{},lotty_info,9,1,500kg
9,34:26.2,,,,,,f,,{},info,1,1,Good Luck
10,34:33.3,"{""number"":""practice 2"",""copying"":true,""score"":0,""info_chosen"":""Topic Score"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,t,34:33.3,{},lotty_info,7,1,9
11,34:33.4,"{""number"": ""practice 2"", ""copying"": true, ""score"": 0, ""info_chosen"": ""Topic Score"", ""round"": 0, ""human"": false, ""topic"": ""Practice""}",,,,,f,,{},lotty_info,7,1,500kg
12,34:33.5,,,,,,f,,{},info,1,1,"{""question"": ""\""Pepino\"" means \""cucumber\"" in which language?"", ""number"": ""practice 3"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Italian"", ""Rwer"": ""Spanish"", ""pic"": false}"
13,34:38.1,"{""number"":""practice 3"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,9,1,Spanish
14,34:41.0,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,8,1,Italian
15,34:43.6,"{""number"":""practice 3"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,7,1,Italian
16,34:43.7,,,,,,f,,{},info,1,1,"{""question"": ""Vincent van Gogh died in which year?"", ""number"": ""practice 4"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""1880"", ""Rwer"": ""1890"", ""pic"": false}"
17,34:48.3,"{""number"":""practice 4"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,9,1,1880
18,34:51.5,"{""number"":""practice 4"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,t,34:54.9,{},lotty_info,8,1,Ask Someone Else
19,34:54.8,"{""number"":""practice 4"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,f,,{},lotty_info,7,1,1880
20,34:54.9,,,,,,f,,{},info,1,1,Good Luck
21,35:03.7,"{""number"":""practice 4"",""copying"":true,""score"":0,""info_chosen"":""Topic Score"",""round"":0,""human"":true,""topic"":""Practice""}",,,,,t,35:03.8,{},lotty_info,8,1,9
22,35:03.8,"{""number"": ""practice 4"", ""copying"": true, ""score"": 0, ""info_chosen"": ""Topic Score"", ""round"": 0, ""human"": true, ""topic"": ""Practice""}",,,,,f,,{},lotty_info,8,1,1880
23,35:03.9,,,,,,f,,{},info,1,1,"{""question"": ""In which country is the red dot located?"", ""number"": 1, ""round"": 1, ""topic"": ""Geography"", ""Wwer"": ""Guatemala"", ""Rwer"": ""Belize"", ""pic"": true}"
24,35:21.4,"{""number"":1,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,7,1,Belize
25,35:25.2,"{""number"":1,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,9,1,Belize
26,35:31.4,"{""number"":1,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,8,1,Belize
27,35:31.5,,,,,,f,,{},info,1,1,"{""question"": ""In which country is the red dot located?"", ""number"": 2, ""round"": 1, ""topic"": ""Geography"", ""Wwer"": ""Nigeria"", ""Rwer"": ""The Ivory Coast"", ""pic"": true}"
28,35:36.9,"{""number"":2,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,t,35:40.5,{},lotty_info,8,1,Ask Someone Else
29,35:37.6,"{""number"":2,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,9,1,Nigeria
30,35:40.4,"{""number"":2,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,7,1,The Ivory Coast
31,35:40.5,,,,,,f,,{},info,1,1,Good Luck
32,35:44.2,"{""number"":2,""copying"":true,""score"":0,""info_chosen"":""Topic Score"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,t,35:44.3,{},lotty_info,8,1,7
33,35:44.3,"{""number"": 2, ""copying"": true, ""score"": 1, ""info_chosen"": ""Topic Score"", ""round"": 1, ""human"": true, ""topic"": ""Geography""}",,,,,f,,{},lotty_info,8,1,The Ivory Coast
34,35:44.4,,,,,,f,,{},info,1,1,"{""question"": ""The capital of Hawaii is"", ""number"": 3, ""round"": 1, ""topic"": ""Geography"", ""Wwer"": ""Waikiki"", ""Rwer"": ""Honolulu"", ""pic"": false}"
35,35:47.8,"{""number"":3,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,7,1,Honolulu
36,35:49.4,"{""number"":3,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,9,1,Honolulu
37,35:51.5,"{""number"":3,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,t,35:51.6,{},lotty_info,8,1,Ask Someone Else
38,35:51.6,,,,,,f,,{},info,1,1,Good Luck
39,35:54.6,"{""number"":3,""copying"":true,""score"":0,""info_chosen"":""Topic Score"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,t,35:54.7,{},lotty_info,8,1,7
40,35:54.7,"{""number"": 3, ""copying"": true, ""score"": 1, ""info_chosen"": ""Topic Score"", ""round"": 1, ""human"": true, ""topic"": ""Geography""}",,,,,f,,{},lotty_info,8,1,Honolulu
41,35:54.8,,,,,,f,,{},info,1,1,"{""question"": ""Saint Helena is an island in"", ""number"": 4, ""round"": 1, ""topic"": ""Geography"", ""Wwer"": ""The Indian Ocean"", ""Rwer"": ""The South Atlantic Ocean"", ""pic"": false}"
42,36:00.3,"{""number"":4,""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,t,36:01.9,{},lotty_info,8,1,Ask Someone Else
43,36:01.1,"{""number"":4,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,9,1,The South Atlantic Ocean
44,36:01.8,"{""number"":4,""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,f,,{},lotty_info,7,1,The South Atlantic Ocean
45,36:01.9,,,,,,f,,{},info,1,1,Good Luck
46,36:05.1,"{""number"":4,""copying"":true,""score"":0,""info_chosen"":""Topic Score"",""round"":1,""human"":true,""topic"":""Geography""}",,,,,t,36:05.1,{},lotty_info,8,1,7
47,36:05.2,"{""number"": 4, ""copying"": true, ""score"": 1, ""info_chosen"": ""Topic Score"", ""round"": 1, ""human"": true, ""topic"": ""Geography""}",,,,,f,,{},lotty_info,8,1,The South Atlantic Ocean
48,36:05.3,,,,,,f,,{},info,1,1,"{""question"": ""Which country shares a border with El Salvador?"", ""number"": 5, ""round"": 1, ""topic"": ""Geography"", ""Wwer"": ""Paraguay"", ""Rwer"": ""Honduras"", ""pic"": false}"
